Albania,Tirana,Tirana International Airport,LATI,TIA,41.4147,19.7206
Austria,Vienna,Vienna International Airport,LOWW,VIE,48.110278,16.569722
Belarus,Minsk,Minsk National Airport,UMMS,MSQ,53.882222,28.030556
Belgium,Brussels,Brussels Airport,EBBR,BRU,50.901389,4.484444
Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport,LQSA,SJJ,43.824722,18.331389
Bulgaria,Sofia,Sofia Airport,LBSF,SOF,42.695,23.408333
Croatia,Zagreb,Zagreb Airport,LDZA,ZAG,45.743056,16.068889
Cyprus,Larnaca,Larnaca International Airport,LCLK,LCA,34.878889,33.630278
Czech Republic,Prague,Václav Havel Airport Prague,LKPR,PRG,50.1018,14.2632
Denmark,Copenhagen,Copenhagen Airport,EKCH,CPH,55.618056,12.656111
Estonia,Tallinn,Tallinn Airport,EETN,TLL,59.413333,24.8325
Finland,Helsinki,Helsinki-Vantaa Airport,EFHK,HEL,60.317222,24.963333
France,Paris,Paris Orly Airport,LFPO,ORY,48.723333,2.379444
Georgia,Tbilisi,Tbilisi International Airport,UGTB,TBS,41.669167,44.954722
Germany,Berlin,Berlin Brandenburg Airport,EDDB,BER,52.366667,13.503333
Greece,Athens,Athens International Airport,LGAV,ATH,37.936389,23.947222
Hungary,Budapest,Budapest Ferenc Liszt International Airport,LHBP,BUD,47.439444,19.261944
Iceland,Reykjavik,Reykjavík Airport,BIRK,RKV,64.13,-21.940556
Ireland,Dublin,Dublin Airport,EIDW,DUB,53.421389,-6.27
Italy,Rome,Leonardo da Vinci–Fiumicino Airport,LIRF,FCO,41.800278,12.238889
Kosovo,Pristina,Pristina International Airport,BKPR,PRN,42.572778,21.035833
Latvia,Riga,Riga International Airport,EVRA,RIX,56.923611,23.971111
Lithuania,Vilnius,Vilnius International Airport,EYVI,VNO,54.636944,25.287778
Luxembourg,Luxembourg,Luxembourg Airport,ELLX,LUX,49.623333,6.204444
Malta,Valletta,Malta International Airport,LMML,MLA,35.8575,14.4775
Moldova,Chișinău,Chișinău International Airport,LUKK,KIV,46.927778,28.930833
Montenegro,Podgorica,Podgorica Airport,LYPG,TGD,42.359444,19.251944
Netherlands,Amsterdam,Amsterdam Airport Schiphol,EHAM,AMS,52.3,4.765
North Macedonia,Skopje,Skopje International Airport,LWSK,SKP,41.961111,21.626944
Norway,Oslo,Oslo Airport,ENGM,OSL,60.202778,11.083889
Poland,Warsaw,Warsaw Chopin Airport,EPWA,WAW,52.165833,20.967222
Portugal,Lisbon,Lisbon Airport,LPPT,LIS,38.774167,-9.134167
Romania,Bucharest,Henri Coandă International Airport,LROP,OTP,44.571111,26.085
Russia,Moscow,Sheremetyevo International Airport,UUEE,SVO,55.972778,37.414722
Serbia,Belgrade,Belgrade Nikola Tesla Airport,LYBE,BEG,44.819444,20.306944
Slovakia,Bratislava,Bratislava Airport,LZIB,BTS,48.17,17.212778
Slovenia,Ljubljana,Ljubljana Jože Pučnik Airport,LJLJ,LJU,46.224444,14.456111
Spain,Madrid,Madrid–Barajas Airport,LEMD,MAD,40.472222,-3.560833
Sweden,Stockholm,Stockholm Arlanda Airport,ESSA,ARN,59.651944,17.918611
Switzerland,Bern,Bern Airport,LSZB,BRN,46.912222,7.499167
Turkey,Ankara,Ankara Esenboğa Airport,LTAC,ESB,40.128056,32.995
Ukraine,Kyiv,Kyiv International Airport (Zhuliany),UKKK,IEV,50.401667,30.451667
United Kingdom,London,Heathrow Airport,EGLL,LHR,51.4775,-0.461389
